ES_Agent

episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
7,-0.8470537044929242,0.8178394677538365,0.0,0.0,-0.8470537044929242,0.8178394677538365,0.0,0.0,-16941.074089858485,16356.789355076733,0.0,0.0,16941.074089858485,16356.789355076733,890405913.0888721,0.0,52559,8760.0,False,False
8,-0.8383537486008844,0.8157733976407286,0.0,0.0,-0.8383537486008844,0.8157733976407286,0.0,0.0,-16767.074972017686,16315.467952814573,0.0,0.0,16767.074972017686,16315.467952814573,881260693.4542775,0.0,52559,8760.0,False,False
9,-0.8393490934364954,0.8178553972578942,0.0,0.0,-0.8393490934364954,0.8178553972578942,0.0,0.0,-16786.98186872991,16357.107945157883,0.0,0.0,16786.98186872991,16357.107945157883,882306980.0385752,0.0,52559,8760.0,False,False
10,-0.8448616107820186,0.8220967369298475,0.0,0.0,-0.8448616107820186,0.8220967369298475,0.0,0.0,-16897.23221564037,16441.934738596952,0.0,0.0,16897.23221564037,16441.934738596952,888101628.0218424,0.0,52559,8760.0,False,False

Seeds Used:
  Episode 1: 575343444
  Episode 2: 975673213
  Episode 3: 1063846078
  Episode 4: 1062617474
  Episode 5: 2020650631
  Episode 6: 283245271
  Episode 7: 1372801106
  Episode 8: 1532587559
  Episode 9: 1096144893
  Episode 10: 995202321
